Adj Close,Close,High,Low,Open,Volume
MGNA.JK,MGNA.JK,MGNA.JK,MGNA.JK,MGNA.JK,MGNA.JK
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,900
50.0,50.0,50.0,50.0,50.0,300
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,10000
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
45.0,45.0,45.0,45.0,45.0,100
41.0,41.0,41.0,41.0,41.0,2700
41.0,41.0,41.0,41.0,41.0,0
37.0,37.0,37.0,37.0,37.0,100
34.0,34.0,34.0,34.0,34.0,200
31.0,31.0,31.0,31.0,31.0,100
28.0,28.0,28.0,28.0,28.0,12600
26.0,26.0,26.0,26.0,26.0,100
24.0,24.0,24.0,24.0,24.0,1000
22.0,22.0,22.0,22.0,22.0,14300
20.0,20.0,20.0,20.0,20.0,2600
18.0,18.0,18.0,18.0,18.0,30300
17.0,17.0,17.0,17.0,17.0,25400
16.0,16.0,16.0,16.0,16.0,12000
15.0,15.0,15.0,15.0,15.0,69400
14.0,14.0,14.0,14.0,14.0,9200
13.0,13.0,13.0,13.0,13.0,10600
12.0,12.0,12.0,12.0,12.0,2000
11.0,11.0,11.0,11.0,11.0,31000
10.0,10.0,10.0,10.0,10.0,15700
9.0,9.0,9.0,9.0,9.0,9300
8.0,8.0,8.0,8.0,8.0,1112400
8.0,8.0,8.0,8.0,8.0,873400
9.0,9.0,9.0,8.0,8.0,378800
10.0,10.0,10.0,10.0,10.0,502000
11.0,11.0,11.0,10.0,10.0,41000
10.0,10.0,11.0,10.0,11.0,354800
10.0,10.0,10.0,10.0,10.0,300
9.0,9.0,9.0,9.0,9.0,151200
9.0,9.0,9.0,9.0,9.0,20600
10.0,10.0,10.0,10.0,10.0,125000
10.0,10.0,10.0,10.0,10.0,32100
10.0,10.0,10.0,10.0,10.0,123400
9.0,9.0,10.0,9.0,10.0,34800
10.0,10.0,10.0,9.0,9.0,189500
10.0,10.0,10.0,10.0,10.0,245100
10.0,10.0,10.0,10.0,10.0,484700
9.0,9.0,9.0,9.0,9.0,561200
10.0,10.0,10.0,10.0,10.0,232400
10.0,10.0,10.0,10.0,10.0,253200
10.0,10.0,10.0,10.0,10.0,52200
10.0,10.0,10.0,10.0,10.0,106600
10.0,10.0,10.0,10.0,10.0,16000
10.0,10.0,10.0,10.0,10.0,10000
10.0,10.0,10.0,10.0,10.0,134500
9.0,9.0,10.0,9.0,10.0,10500
10.0,10.0,10.0,9.0,9.0,700
10.0,10.0,10.0,10.0,10.0,319300
10.0,10.0,10.0,10.0,10.0,152900
10.0,10.0,10.0,9.0,9.0,81000
10.0,10.0,10.0,10.0,10.0,100000
10.0,10.0,10.0,10.0,10.0,13200
10.0,10.0,10.0,10.0,10.0,115100
10.0,10.0,10.0,10.0,10.0,120600
10.0,10.0,10.0,10.0,10.0,318400
10.0,10.0,10.0,10.0,10.0,6700
9.0,9.0,10.0,9.0,10.0,30000
8.0,8.0,8.0,8.0,8.0,309900
8.0,8.0,8.0,8.0,8.0,1098800
8.0,8.0,8.0,8.0,8.0,50100
9.0,9.0,9.0,9.0,9.0,11300
9.0,9.0,9.0,9.0,9.0,168300
9.0,9.0,9.0,9.0,9.0,3600
9.0,9.0,9.0,8.0,8.0,191100
9.0,9.0,9.0,9.0,9.0,6300
9.0,9.0,9.0,9.0,9.0,6400
9.0,9.0,9.0,8.0,8.0,27200
9.0,9.0,9.0,9.0,9.0,4300
9.0,9.0,9.0,9.0,9.0,30900
8.0,8.0,8.0,8.0,8.0,94100
9.0,9.0,9.0,9.0,9.0,11200
9.0,9.0,9.0,9.0,9.0,117600
8.0,8.0,8.0,8.0,8.0,900
8.0,8.0,8.0,8.0,8.0,295500
8.0,8.0,8.0,8.0,8.0,310100
8.0,8.0,8.0,8.0,8.0,10800
7.0,7.0,8.0,7.0,8.0,12800
6.0,6.0,7.0,6.0,7.0,234900
6.0,6.0,6.0,5.0,6.0,1712200
7.0,7.0,7.0,6.0,6.0,219300
7.0,7.0,8.0,7.0,7.0,23600
8.0,8.0,8.0,8.0,8.0,141300
7.0,7.0,7.0,7.0,7.0,34400
8.0,8.0,8.0,7.0,8.0,80700
8.0,8.0,8.0,8.0,8.0,216100
8.0,8.0,8.0,8.0,8.0,32500
8.0,8.0,8.0,8.0,8.0,201100
7.0,7.0,7.0,7.0,7.0,999000
7.0,7.0,8.0,7.0,8.0,25700
7.0,7.0,7.0,7.0,7.0,74100
7.0,7.0,7.0,6.0,6.0,282000
7.0,7.0,7.0,7.0,7.0,33000
7.0,7.0,7.0,7.0,7.0,279900
7.0,7.0,7.0,7.0,7.0,637300
7.0,7.0,7.0,7.0,7.0,801200
7.0,7.0,7.0,7.0,7.0,454000
7.0,7.0,7.0,6.0,6.0,155600
7.0,7.0,7.0,6.0,6.0,101400
7.0,7.0,7.0,7.0,7.0,0
7.0,7.0,7.0,7.0,7.0,1200
7.0,7.0,7.0,7.0,7.0,2000
7.0,7.0,7.0,7.0,7.0,520700
7.0,7.0,7.0,6.0,6.0,653300
7.0,7.0,7.0,7.0,7.0,110000
7.0,7.0,7.0,7.0,7.0,90300
8.0,8.0,8.0,8.0,8.0,31200
8.0,8.0,8.0,8.0,8.0,13600
8.0,8.0,8.0,8.0,8.0,2700
8.0,8.0,8.0,8.0,8.0,211300
8.0,8.0,8.0,8.0,8.0,251000
8.0,8.0,8.0,8.0,8.0,300
8.0,8.0,8.0,8.0,8.0,0
8.0,8.0,8.0,8.0,8.0,0
8.0,8.0,8.0,8.0,8.0,0
8.0,8.0,8.0,8.0,8.0,200
7.0,7.0,7.0,7.0,7.0,406000
7.0,7.0,7.0,7.0,7.0,532800
7.0,7.0,7.0,7.0,7.0,16100
7.0,7.0,7.0,7.0,7.0,250000
7.0,7.0,7.0,7.0,7.0,0
7.0,7.0,7.0,7.0,7.0,169600
7.0,7.0,7.0,7.0,7.0,1200
6.0,6.0,7.0,6.0,7.0,800200
7.0,7.0,7.0,7.0,7.0,10600
7.0,7.0,7.0,7.0,7.0,100
7.0,7.0,7.0,7.0,7.0,61000
7.0,7.0,7.0,7.0,7.0,81000
7.0,7.0,7.0,7.0,7.0,0
7.0,7.0,7.0,7.0,7.0,200
7.0,7.0,7.0,7.0,7.0,400
7.0,7.0,7.0,7.0,7.0,6300
7.0,7.0,7.0,7.0,7.0,30000
7.0,7.0,7.0,6.0,6.0,44000
7.0,7.0,7.0,7.0,7.0,279400
7.0,7.0,7.0,7.0,7.0,37300
7.0,7.0,7.0,7.0,7.0,30000
7.0,7.0,7.0,7.0,7.0,20600
7.0,7.0,7.0,7.0,7.0,10400
7.0,7.0,7.0,7.0,7.0,0
7.0,7.0,7.0,7.0,7.0,10100
8.0,8.0,8.0,8.0,8.0,16600
9.0,9.0,9.0,8.0,8.0,43200
9.0,9.0,9.0,9.0,9.0,10500
9.0,9.0,9.0,9.0,9.0,50000
9.0,9.0,9.0,9.0,9.0,0
9.0,9.0,9.0,9.0,9.0,0
9.0,9.0,9.0,9.0,9.0,27700
9.0,9.0,9.0,9.0,9.0,8600
9.0,9.0,9.0,9.0,9.0,100
9.0,9.0,9.0,9.0,9.0,0
9.0,9.0,9.0,9.0,9.0,100
9.0,9.0,9.0,9.0,9.0,11000
9.0,9.0,9.0,9.0,9.0,0
9.0,9.0,9.0,9.0,9.0,0
9.0,9.0,10.0,9.0,10.0,22100
9.0,9.0,9.0,9.0,9.0,20600
9.0,9.0,9.0,9.0,9.0,0
10.0,10.0,10.0,9.0,9.0,12400
10.0,10.0,10.0,10.0,10.0,561600
10.0,10.0,10.0,10.0,10.0,148100
10.0,10.0,10.0,10.0,10.0,0
10.0,10.0,10.0,10.0,10.0,0
11.0,11.0,11.0,11.0,11.0,10000
12.0,12.0,12.0,11.0,11.0,2100
13.0,13.0,13.0,12.0,12.0,33500
14.0,14.0,14.0,14.0,14.0,180200
14.0,14.0,14.0,14.0,14.0,190000
14.0,14.0,14.0,14.0,14.0,284600
14.0,14.0,14.0,14.0,14.0,50000
13.0,13.0,13.0,13.0,13.0,195000
14.0,14.0,14.0,14.0,14.0,1000
15.0,15.0,15.0,15.0,15.0,69900
16.0,16.0,16.0,16.0,16.0,43900
17.0,17.0,17.0,17.0,17.0,200700
18.0,18.0,18.0,18.0,18.0,10900
19.0,19.0,19.0,19.0,19.0,5700
20.0,20.0,20.0,20.0,20.0,600
21.0,21.0,21.0,21.0,21.0,290100
22.0,22.0,22.0,21.0,21.0,108800
24.0,24.0,24.0,24.0,24.0,3138500
26.0,26.0,26.0,26.0,26.0,1940800
26.0,26.0,26.0,26.0,26.0,389300
26.0,26.0,26.0,26.0,26.0,66300
26.0,26.0,26.0,26.0,26.0,12300
24.0,24.0,25.0,24.0,25.0,24500
22.0,22.0,22.0,22.0,22.0,61100
20.0,20.0,20.0,20.0,20.0,108100
18.0,18.0,18.0,18.0,18.0,2523300
19.0,19.0,19.0,19.0,19.0,708100
20.0,20.0,20.0,19.0,19.0,2153300
19.0,19.0,20.0,18.0,20.0,481600
20.0,20.0,20.0,20.0,20.0,592800
21.0,21.0,21.0,21.0,21.0,16900
20.0,20.0,22.0,20.0,22.0,62000
18.0,18.0,20.0,18.0,20.0,128400
17.0,17.0,17.0,17.0,17.0,283100
16.0,16.0,17.0,16.0,17.0,393000
16.0,16.0,16.0,16.0,16.0,412500
15.0,15.0,16.0,15.0,16.0,196300
16.0,16.0,16.0,15.0,15.0,150400
16.0,16.0,16.0,16.0,16.0,16700
16.0,16.0,16.0,16.0,16.0,142800
17.0,17.0,17.0,17.0,17.0,340900
18.0,18.0,18.0,18.0,18.0,22900
18.0,18.0,18.0,18.0,18.0,177800
18.0,18.0,18.0,17.0,18.0,587000
18.0,18.0,19.0,18.0,18.0,629500
18.0,18.0,18.0,17.0,18.0,1076100
17.0,17.0,18.0,17.0,18.0,80600
18.0,18.0,18.0,17.0,17.0,1309100
19.0,19.0,19.0,18.0,18.0,85700
18.0,18.0,18.0,18.0,18.0,2400
18.0,18.0,18.0,18.0,18.0,60300
19.0,19.0,19.0,19.0,19.0,522500
19.0,19.0,19.0,19.0,19.0,178800
20.0,20.0,20.0,19.0,19.0,24900
20.0,20.0,20.0,19.0,20.0,11500
20.0,20.0,20.0,20.0,20.0,20000
19.0,19.0,20.0,19.0,20.0,150700
20.0,20.0,20.0,20.0,20.0,263800
22.0,22.0,22.0,22.0,22.0,1042400
20.0,20.0,20.0,20.0,20.0,35500
19.0,19.0,19.0,19.0,19.0,37800
18.0,18.0,18.0,18.0,18.0,3600
18.0,18.0,18.0,17.0,17.0,689500
